name,description,start_year,start_month,start_day,end_year,end_month,end_day,source_incident_detection_disclosure,source_incident_detection_disclosure_hashed,incident_type,incident_type_hashed,receiver_name,receiver_category,receiver_category_subcode,receiver_category_subcode_hashed,initiator_name,initiator_category,number_of_attributions,attribution_ID,attribution_type,attribution_type_grouped,attribution_type_grouped_hashed,attribution_basis,attribution_basis_grouped,attribution_basis_grouped_hashed,attributing_actor,attributing_country_grouped,attributed_initiator,attributed_initiator_grouped,attributed_initiator_encoded,attributed_initiator_country_grouped,attributed_initiator_category,attributed_initiator_category_grouped,attributed_initiator_category_grouped_hashed,sources_attribution,cyber_conflict_issue,cyber_conflict_issue_grouped,offline_conflict_issue,offline_conflict_issue_grouped,offline_conflict_issue_hashed,offline_conflict_issue_subcode_grouped,offline_conflict_intensity,offline_conflict_intensity_encoded,offline_conflict_intensity_subcode,offline_conflict_intensity_subcode_encoded,number_of_political_responses,political_response_year,political_response_month,political_response_day,political_response_type,political_response_type_subcode,political_response_type_subcode_grouped,political_response_type_subcode_encoded,political_response_continent,political_response_actor,zero_days,zero_days_encoded,MITRE_initial_access,MITRE_initial_access_grouped,MITRE_initial_access_encoded,MITRE_impact,MITRE_impact_grouped,MITRE_impact_encoded,user_interaction,user_interaction_encoded,has_disruption,data_theft,data_theft_encoded,disruption,disruption_encoded,hijacking,hijacking_encoded,physical_effects_spatial,physical_effects_spatial_encoded,physical_effects_temporal,physical_effects_temporal_encoded,unweighted_cyber_intensity,target_multiplier,target_multiplier_encoded,weighted_cyber_intensity,impact_indicator,impact_indicator_encoded,impact_indicator_value,functional_impact,functional_impact_encoded,intelligence_impact,intelligence_impact_grouped,intelligence_impact_encoded,political_impact_affected_entities,political_impact_affected_entities_exact_value,political_impact_third_countries,political_impact_third_countries_exact_value,economic_impact,economic_impact_exact_value,economic_impact_currency,economic_impact_currency_encoded,state_responsibility_indicator,state_responsibility_indicator_encoder,IL_breach_indicator,IL_breach_indicator_grouped,IL_breach_indicator_grouped_hashed,IL_breach_indicator_subcode,IL_breach_indicator_subcode_grouped,IL_breach_indicator_subcode_encoded,evidence_for_sanctions_indicator,evidence_for_sanctions_indicator_encoded,number_of_legal_responses,legal_response_year,legal_response_month,legal_response_day,legal_response_type,legal_response_type_subcode,legal_response_actor,legal_attribution_reference,legal_attribution_reference_subcode,legal_response_indicator,legal_response_indicator_encoded,sources_url,receiver__Africa,receiver__Asia,receiver__Australia,receiver__Europe,receiver__North America,receiver__South America,initiator_Africa,initiator_Asia,initiator_Europe,initiator_North America,initiator_South America,attributed_initiator_Africa,attributed_initiator_Asia,attributed_initiator_Europe,attributed_initiator_North America,attributed_initiator_South America,offline_conflict_issue_subcode_Africa,offline_conflict_issue_subcode_Asia,offline_conflict_issue_subcode_Europe,offline_conflict_issue_subcode_North America,offline_conflict_issue_subcode_South America,legal_response_continent
Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024,"Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024, Fur Affinity itself announced on 21 August 2024.
The hackers are said to have compromised the respective DNS server via DNS hijacking so that access to Fur Affinity's domain was redirected to malicious websites. In addition, the Twitter account of Fur Affinity and its recently deceased founder, Sean 'Dragoneer' Piche, has been taken over. Fur Affinity took control of their Twitter account until now.",2024,8,20,2024.0,8.0,21.0,victim,[9],Hijacking without Misuse,[367],"Sean ""Dragoneer"" Piche (Founder of Fur Affinity, United States) - Fur Affinity",Critical infrastructure;  End user(s) / specially protected groups,Digital Provider,[633],Not available,Not available,1,20800,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,hackread,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024,"Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024, Fur Affinity itself announced on 21 August 2024.
The hackers are said to have compromised the respective DNS server via DNS hijacking so that access to Fur Affinity's domain was redirected to malicious websites. In addition, the Twitter account of Fur Affinity and its recently deceased founder, Sean 'Dragoneer' Piche, has been taken over. Fur Affinity took control of their Twitter account until now.",2024,8,20,2024.0,8.0,21.0,victim,[9],Hijacking without Misuse,[367],"Sean ""Dragoneer"" Piche (Founder of Fur Affinity, United States) - Fur Affinity",Critical infrastructure;  End user(s) / specially protected groups,Digital Provider,[633],Not available,Not available,1,20800,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,hackread,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024,"Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024, Fur Affinity itself announced on 21 August 2024.
The hackers are said to have compromised the respective DNS server via DNS hijacking so that access to Fur Affinity's domain was redirected to malicious websites. In addition, the Twitter account of Fur Affinity and its recently deceased founder, Sean 'Dragoneer' Piche, has been taken over. Fur Affinity took control of their Twitter account until now.",2024,8,20,2024.0,8.0,21.0,victim,[9],Hijacking without Misuse,[367],"Sean ""Dragoneer"" Piche (Founder of Fur Affinity, United States) - Fur Affinity",Critical infrastructure;  End user(s) / specially protected groups,Digital Provider,[633],Not available,Not available,1,20800,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,hackread,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024,"Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024, Fur Affinity itself announced on 21 August 2024.
The hackers are said to have compromised the respective DNS server via DNS hijacking so that access to Fur Affinity's domain was redirected to malicious websites. In addition, the Twitter account of Fur Affinity and its recently deceased founder, Sean 'Dragoneer' Piche, has been taken over. Fur Affinity took control of their Twitter account until now.",2024,8,20,2024.0,8.0,21.0,victim,[9],Hijacking without Misuse,[367],"Sean ""Dragoneer"" Piche (Founder of Fur Affinity, United States) - Fur Affinity",Critical infrastructure;  End user(s) / specially protected groups,Digital Provider,[633],Not available,Not available,1,20800,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,hackread,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024,"Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024, Fur Affinity itself announced on 21 August 2024.
The hackers are said to have compromised the respective DNS server via DNS hijacking so that access to Fur Affinity's domain was redirected to malicious websites. In addition, the Twitter account of Fur Affinity and its recently deceased founder, Sean 'Dragoneer' Piche, has been taken over. Fur Affinity took control of their Twitter account until now.",2024,8,20,2024.0,8.0,21.0,victim,[9],Hijacking without Misuse,[367],"Sean ""Dragoneer"" Piche (Founder of Fur Affinity, United States) - Fur Affinity",Critical infrastructure;  End user(s) / specially protected groups,Digital Provider,[633],Not available,Not available,1,20800,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,hackread,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024,"Unknown hackers compromised the domain and X account of the Fur Affinity social network beginning on 20 August 2024, Fur Affinity itself announced on 21 August 2024.
The hackers are said to have compromised the respective DNS server via DNS hijacking so that access to Fur Affinity's domain was redirected to malicious websites. In addition, the Twitter account of Fur Affinity and its recently deceased founder, Sean 'Dragoneer' Piche, has been taken over. Fur Affinity took control of their Twitter account until now.",2024,8,20,2024.0,8.0,21.0,victim,[9],Hijacking without Misuse,[367],"Sean ""Dragoneer"" Piche (Founder of Fur Affinity, United States) - Fur Affinity",Critical infrastructure;  End user(s) / specially protected groups,Digital Provider,[633],Not available,Not available,1,20800,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,hackread,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown attackers infected the online stores of hundreds of companies using the e-commerce platform Magento in August 2024,"Malwarebyte Labs reports unknown attackers infected the online stores of hundreds of companies using the e-commerce platform Magento with a digital skimmer in August 2024. Digital skimmers are snippets of code that have been injected into online stores, and they can steal the user's credit card number, expiration date and CVV/CVC as the user type it in. Within a few days, over a dozen attacker-controlled websites were identified and set up to receive the stolen data. Under the victims are also a European beer manufacturer and a Canadian university. ",2024,8,1,2024.0,8.0,22.0,IT-security company,[322],Data theft; Hijacking with Misuse,"[824, 361]",Not available - Not available - Not available,Critical infrastructure;  Education;  Unknown,Food,[809],Not available,Not available,1,20814,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,malwarebytes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown attackers infected the online stores of hundreds of companies using the e-commerce platform Magento in August 2024,"Malwarebyte Labs reports unknown attackers infected the online stores of hundreds of companies using the e-commerce platform Magento with a digital skimmer in August 2024. Digital skimmers are snippets of code that have been injected into online stores, and they can steal the user's credit card number, expiration date and CVV/CVC as the user type it in. Within a few days, over a dozen attacker-controlled websites were identified and set up to receive the stolen data. Under the victims are also a European beer manufacturer and a Canadian university. ",2024,8,1,2024.0,8.0,22.0,IT-security company,[322],Data theft; Hijacking with Misuse,"[824, 361]",Not available - Not available - Not available,Critical infrastructure;  Education;  Unknown,Food,[809],Not available,Not available,1,20814,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,malwarebytes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Unknown Hackers Breached McDonald’s Instagram Account in $700K Solana-Based Crypto Scam on 21 August 2024,"On 21 August 2024, unknown hackers gained control of McDonald’s official Instagram account and used it to promote a fraudulent Solana-based cryptocurrency scheme. The attackers posted links to a fake ""Grimace"" memecoin, tricking followers into transferring funds through the Solana blockchain, believing they were investing in a McDonald’s-branded cryptocurrency. The scam resulted in over $700,000 in stolen funds.
McDonald’s quickly regained control of its Instagram account and removed the fraudulent posts. The company issued an apology and is cooperating with law enforcement to investigate the breach. ",2024,8,21,2024.0,8.0,21.0,attacker,[304],Hijacking with Misuse,[361],McDonald’s ,Critical infrastructure,Food,[809],Not available,Not available,1,20790,Not available,Other/Unavailable,[449],Not available,Other/Unavailable,[449],Not available,,Not available,Miscellaneous,2,,Not available,Miscellaneous,[39],dragos,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,finansgundem,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
Akira Ransomware Group Steals and Encrypts Data from Switzerland's Hoerbiger Holding on 29 July 2024,"On 29 July 2024, Swiss industrial company Hoerbiger Holding, known for its expertise in compression technology, drive technology, and safety systems, was targeted by the Akira ransomware group. The attackers infiltrated the company’s network, stealing and encrypting over 50 GB of sensitive data, including employee information, customer data, contracts, and financial records. The attack also disrupted production at several locations.
Hoerbiger confirmed that the ransomware attack compromised two out of 800 global servers, while core systems such as Microsoft 365, ERP, CRM, and HR platforms remained unaffected due to external hosting. In response, the company has restored its production facilities and is working to rebuild its IT infrastructure with strengthened security measures.",2024,7,29,2024.0,8.0,21.0,attacker,[304],Data theft; Disruption; Hijacking with Misuse; Ransomware,"[824, 310, 361, 367]",Hoerbiger Holding,Critical infrastructure,Critical Manufacturing,[432],Akira Ransomware Group/Storm-1567,Non-state-group,1,20787,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media Reports,[235],Attacker confirms,Media Reports; Self-Attribution,"[235, 615]",Akira Ransomware Group,,Akira Ransomware Group/Storm-1567,Ransomware Groups,5,,Non-state-group,Non-State Actors,[61],security-incidents,Unknown,Other/Unknown,Not available,Unknown,[106],"Asia, Europe",Not available,0,HIIK 5,4,0,2023,1,26,Not available,Awareness raising,Awareness Raising,0,,Not available,No,0.0,Not available,Unknown,5,Data Exfiltration,Data-related Actions,2,Not available,0,False,Not Available,2,Not available,1,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",1,none,3,none,3,0,Moderate - high political importance,0,3.0,Not available,3,0.0,No system interference/disruption,3.0,No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data,No data impact,3,1-10,0.0,1-10,0.0,Not available,0.0,euro,1.0,Not available,3,Human rights; Sovereignty,Conflict and Security Law; Humanitarian Law,"[564, 248]",Civic / political rights,Human Rights,2,Not available,2.0,0,2023,12,1,Not available,; ; ,Not available,Not available,Civic / political rights,Unfriendly acts/retorsions justified (missing state-attribution & breach ofinternational law OR state-attribution & missing breach of international law),3,inside-it,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
